5408, 12300, 5408, 97763, 5408, 5408, 1, 1, bread, onion, bread, grape_juice, bread 
2304, 2087, 14073, 97763, 97763, 2087, 2, 0, orange, apple, coke, grape_juice, grape_juice 
42488, 12300, 97763, 30880, 97763, 12300, 1, 0, orange_juice, onion, grape_juice, crackers, grape_juice 
2087, 30880, 12300, 42488, 12300, 12300, 1, 1, apple, crackers, onion, orange_juice, onion 
18450, 97763, 14073, 2304, 97763, 2304, 0, 2, cereal, grape_juice, coke, orange, grape_juice 
2304, 97763, 53070, 6050, 6050, 6050, 2, 2, orange, grape_juice, potato_chips, corn, corn 
17059, 2087, 18450, 6050, 18450, 6050, 1, 2, jelly, apple, cereal, corn, cereal 
30880, 30880, 2087, 6050, 30880, 30880, 0, 0, crackers, crackers, apple, corn, crackers 
5408, 18450, 30880, 6050, 18450, 6050, 0, 2, bread, cereal, crackers, corn, cereal 
53070, 14073, 53070, 97763, 53070, 53070, 1, 1, potato_chips, coke, potato_chips, grape_juice, potato_chips 
97763, 17059, 2087, 12300, 17059, 2087, 0, 1, grape_juice, jelly, apple, onion, jelly 
53070, 97763, 5408, 17059, 5408, 5408, 1, 1, potato_chips, grape_juice, bread, jelly, bread 
12300, 18450, 42488, 12300, 12300, 12300, 2, 2, onion, cereal, orange_juice, onion, onion 
17059, 6050, 53070, 2304, 2304, 2304, 2, 2, jelly, corn, potato_chips, orange, orange 
5408, 97763, 17059, 2087, 17059, 2087, 1, 2, bread, grape_juice, jelly, apple, jelly 
12300, 97763, 53070, 6050, 6050, 6050, 2, 2, onion, grape_juice, potato_chips, corn, corn 
14073, 30880, 53070, 18450, 30880, 18450, 0, 2, coke, crackers, potato_chips, cereal, crackers 
14073, 97763, 2304, 42488, 42488, 2304, 2, 1, coke, grape_juice, orange, orange_juice, orange_juice 
42488, 18450, 5408, 12300, 12300, 5408, 2, 1, orange_juice, cereal, bread, onion, onion 
30880, 42488, 2304, 17059, 42488, 2304, 0, 1, crackers, orange_juice, orange, jelly, orange_juice 
2087, 42488, 53070, 30880, 42488, 30880, 0, 2, apple, orange_juice, potato_chips, crackers, orange_juice 
5408, 5408, 42488, 2087, 5408, 5408, 0, 0, bread, bread, orange_juice, apple, bread 
30880, 17059, 42488, 97763, 97763, 17059, 2, 0, crackers, jelly, orange_juice, grape_juice, grape_juice 
2304, 17059, 2304, 53070, 2304, 2304, 1, 1, orange, jelly, orange, potato_chips, orange 
17059, 30880, 97763, 53070, 97763, 30880, 1, 0, jelly, crackers, grape_juice, potato_chips, grape_juice 
6050, 2087, 18450, 17059, 17059, 2087, 2, 0, corn, apple, cereal, jelly, jelly 
2087, 2087, 53070, 14073, 2087, 2087, 0, 0, apple, apple, potato_chips, coke, apple 
17059, 97763, 53070, 6050, 53070, 6050, 1, 2, jelly, grape_juice, potato_chips, corn, potato_chips 
2304, 30880, 2304, 97763, 2304, 2304, 1, 1, orange, crackers, orange, grape_juice, orange 
14073, 53070, 97763, 2304, 97763, 2304, 1, 2, coke, potato_chips, grape_juice, orange, grape_juice 
18450, 17059, 53070, 14073, 53070, 17059, 1, 0, cereal, jelly, potato_chips, coke, potato_chips 
14073, 97763, 2087, 18450, 97763, 2087, 0, 1, coke, grape_juice, apple, cereal, grape_juice 
6050, 12300, 97763, 2304, 2304, 2304, 2, 2, corn, onion, grape_juice, orange, orange 
97763, 2087, 6050, 53070, 2087, 2087, 0, 0, grape_juice, apple, corn, potato_chips, apple 
12300, 30880, 18450, 2087, 30880, 2087, 0, 2, onion, crackers, cereal, apple, crackers 
2087, 97763, 12300, 6050, 12300, 6050, 1, 2, apple, grape_juice, onion, corn, onion 
97763, 42488, 53070, 17059, 42488, 17059, 0, 2, grape_juice, orange_juice, potato_chips, jelly, orange_juice 
42488, 2087, 18450, 6050, 18450, 6050, 1, 2, orange_juice, apple, cereal, corn, cereal 
53070, 30880, 14073, 53070, 53070, 53070, 2, 2, potato_chips, crackers, coke, potato_chips, potato_chips 
2087, 12300, 5408, 97763, 12300, 5408, 0, 1, apple, onion, bread, grape_juice, onion 
14073, 14073, 18450, 12300, 14073, 14073, 0, 0, coke, coke, cereal, onion, coke 
97763, 5408, 18450, 42488, 42488, 5408, 2, 0, grape_juice, bread, cereal, orange_juice, orange_juice 
17059, 2087, 5408, 53070, 5408, 5408, 1, 1, jelly, apple, bread, potato_chips, bread 
30880, 97763, 2087, 42488, 2087, 2087, 1, 1, crackers, grape_juice, apple, orange_juice, apple 
5408, 5408, 12300, 53070, 5408, 5408, 0, 0, bread, bread, onion, potato_chips, bread 
97763, 2304, 18450, 5408, 18450, 5408, 1, 2, grape_juice, orange, cereal, bread, cereal 
12300, 53070, 97763, 2304, 2304, 2304, 2, 2, onion, potato_chips, grape_juice, orange, orange 
42488, 42488, 53070, 2304, 42488, 42488, 0, 0, orange_juice, orange_juice, potato_chips, orange, orange_juice 
12300, 42488, 12300, 5408, 12300, 12300, 1, 1, onion, orange_juice, onion, bread, onion 
42488, 5408, 17059, 12300, 17059, 5408, 1, 0, orange_juice, bread, jelly, onion, jelly 
14073, 6050, 30880, 2304, 30880, 6050, 1, 0, coke, corn, crackers, orange, crackers 
17059, 42488, 53070, 14073, 42488, 14073, 0, 2, jelly, orange_juice, potato_chips, coke, orange_juice 
42488, 53070, 97763, 17059, 97763, 17059, 1, 2, orange_juice, potato_chips, grape_juice, jelly, grape_juice 
97763, 14073, 53070, 12300, 14073, 14073, 0, 0, grape_juice, coke, potato_chips, onion, coke 
5408, 17059, 5408, 6050, 5408, 5408, 1, 1, bread, jelly, bread, corn, bread 
17059, 42488, 53070, 18450, 42488, 18450, 0, 2, jelly, orange_juice, potato_chips, cereal, orange_juice 
14073, 12300, 42488, 6050, 42488, 6050, 1, 2, coke, onion, orange_juice, corn, orange_juice 
42488, 42488, 6050, 5408, 42488, 42488, 0, 0, orange_juice, orange_juice, corn, bread, orange_juice 
14073, 5408, 17059, 2087, 17059, 2087, 1, 2, coke, bread, jelly, apple, jelly 
5408, 6050, 2087, 2304, 2087, 2304, 1, 2, bread, corn, apple, orange, apple 
2087, 30880, 12300, 14073, 12300, 14073, 1, 2, apple, crackers, onion, coke, onion 
5408, 18450, 12300, 2087, 18450, 12300, 0, 1, bread, cereal, onion, apple, cereal 
18450, 97763, 2304, 5408, 5408, 2304, 2, 1, cereal, grape_juice, orange, bread, bread 
2304, 97763, 42488, 53070, 53070, 42488, 2, 1, orange, grape_juice, orange_juice, potato_chips, potato_chips 
17059, 2304, 2087, 12300, 2087, 2304, 1, 0, jelly, orange, apple, onion, apple 
18450, 6050, 18450, 42488, 18450, 18450, 1, 1, cereal, corn, cereal, orange_juice, cereal 
18450, 18450, 2304, 6050, 18450, 18450, 0, 0, cereal, cereal, orange, corn, cereal 
5408, 17059, 14073, 18450, 18450, 18450, 2, 2, bread, jelly, coke, cereal, cereal 
30880, 14073, 18450, 12300, 18450, 18450, 1, 1, crackers, coke, cereal, onion, cereal 
97763, 17059, 2304, 53070, 17059, 2304, 0, 1, grape_juice, jelly, orange, potato_chips, jelly 
6050, 12300, 97763, 30880, 97763, 12300, 1, 0, corn, onion, grape_juice, crackers, grape_juice 
5408, 18450, 42488, 17059, 17059, 18450, 2, 0, bread, cereal, orange_juice, jelly, jelly 
53070, 6050, 2087, 17059, 17059, 6050, 2, 0, potato_chips, corn, apple, jelly, jelly 
53070, 12300, 6050, 30880, 30880, 6050, 2, 1, potato_chips, onion, corn, crackers, crackers 
97763, 17059, 53070, 14073, 14073, 14073, 2, 2, grape_juice, jelly, potato_chips, coke, coke 
2304, 97763, 5408, 17059, 17059, 5408, 2, 1, orange, grape_juice, bread, jelly, jelly 
18450, 30880, 42488, 17059, 30880, 30880, 0, 0, cereal, crackers, orange_juice, jelly, crackers 
2087, 12300, 2087, 42488, 2087, 2087, 1, 1, apple, onion, apple, orange_juice, apple 
97763, 14073, 12300, 5408, 14073, 5408, 0, 2, grape_juice, coke, onion, bread, coke 
14073, 18450, 30880, 12300, 12300, 18450, 2, 0, coke, cereal, crackers, onion, onion 
2304, 12300, 2087, 42488, 2087, 2087, 1, 1, orange, onion, apple, orange_juice, apple 
2304, 6050, 5408, 2304, 2304, 2304, 2, 2, orange, corn, bread, orange, orange 
18450, 17059, 2087, 12300, 12300, 2087, 2, 1, cereal, jelly, apple, onion, onion 
