"crackers,breakfast_cereal","cereal,breakfast_cereal,cereal,sprite,dr_pepper"
"tea,crackers","cereal,breakfast_cereal,cereal,sprite,dr_pepper,crackers"
"apple,banana","cereal,breakfast_cereal,cereal,sprite,dr_pepper,crackers,tea,banana"
"orange,apple","cereal,breakfast_cereal,cereal,sprite,dr_pepper,crackers,tea,banana,apple"
"noodles,tea","cereal,breakfast_cereal,cereal,sprite,dr_pepper,crackers,tea,banana,apple,orange,soup"
"crackers,breakfast_cereal",breakfast_cereal
"tea,coffee_sugar","breakfast_cereal,crackers,breakfast_cereal,coffee_sugar"
"oatmeal,tea","breakfast_cereal,crackers,breakfast_cereal,coffee_sugar,tea"
"jam,oatmeal","breakfast_cereal,crackers,breakfast_cereal,coffee_sugar,tea,oatmeal"
"peanut_butter,jam","breakfast_cereal,crackers,breakfast_cereal,coffee_sugar,tea,oatmeal,jam"
"chili,peanut_butter","breakfast_cereal,crackers,breakfast_cereal,coffee_sugar,tea,oatmeal,jam,peanut_butter"
"soup,chili","breakfast_cereal,crackers,breakfast_cereal,coffee_sugar,tea,oatmeal,jam,peanut_butter,chili"
"sprite,dr_pepper","breakfast_cereal,crackers,breakfast_cereal,coffee_sugar,tea,oatmeal,jam,peanut_butter,chili,soup,dr_pepper"
"orange,banana","breakfast_cereal,crackers,breakfast_cereal,coffee_sugar,tea,oatmeal,jam,peanut_butter,chili,soup,dr_pepper,sprite,noodles,banana"
"cookies,breakfast_cereal",breakfast_cereal
"graham_crackers,cookies","breakfast_cereal,cookies,breakfast_cereal"
"nutella,peanut_butter","breakfast_cereal,cookies,breakfast_cereal,graham_crackers,oatmeal,soup,peanut_butter"
"noodles,graham_crackers","breakfast_cereal,cookies,breakfast_cereal,graham_crackers,oatmeal,soup,peanut_butter,nutella"
"banana,orange","breakfast_cereal,cookies,breakfast_cereal,graham_crackers,oatmeal,soup,peanut_butter,nutella,noodles,orange"
"breakfast_cereal,cereal",cereal
"fanta,sprite","cereal,breakfast_cereal,cereal,sprite"
"graham_crackers,crackers","cereal,breakfast_cereal,cereal,sprite,fanta,crackers"
"noodles,soup","cereal,breakfast_cereal,cereal,sprite,fanta,crackers,graham_crackers,soup"
"orange,banana","cereal,breakfast_cereal,cereal,sprite,fanta,crackers,graham_crackers,soup,noodles,banana"
"peanut_butter,graham_crackers","cereal,breakfast_cereal,cereal,sprite,fanta,crackers,graham_crackers,soup,noodles,banana,orange"
"jam,peanut_butter","cereal,breakfast_cereal,cereal,sprite,fanta,crackers,graham_crackers,soup,noodles,banana,orange,peanut_butter"
"oatmeal,breakfast_cereal","cereal,breakfast_cereal,cereal,sprite,fanta,crackers,graham_crackers,soup,noodles,banana,orange,peanut_butter,jam"
"fanta,sprite",sprite
"corn,soup","sprite,fanta,sprite,soup"
"jam,corn","sprite,fanta,sprite,soup,corn,peanut_butter"
"orange,banana","sprite,fanta,sprite,soup,corn,peanut_butter,jam,banana"
"coffee_sugar,cereal","sprite,fanta,sprite,soup,corn,peanut_butter,jam,banana,orange,cereal"
"crackers,graham_crackers","sprite,fanta,sprite,soup,corn,peanut_butter,jam,banana,orange,cereal,coffee_sugar,graham_crackers"
"graham_crackers,tea",tea
"coffee_sugar,crackers","tea,graham_crackers,tea,crackers"
"oatmeal,coffee_sugar","tea,graham_crackers,tea,crackers,coffee_sugar"
"chili,peas","tea,graham_crackers,tea,crackers,coffee_sugar,oatmeal,peas"
"soup,chili","tea,graham_crackers,tea,crackers,coffee_sugar,oatmeal,peas,chili"
"orange,banana","tea,graham_crackers,tea,crackers,coffee_sugar,oatmeal,peas,chili,soup,banana"
"noodles,soup","tea,graham_crackers,tea,crackers,coffee_sugar,oatmeal,peas,chili,soup,banana,orange"
"graham_crackers,cereal",cereal
"oatmeal,graham_crackers","cereal,graham_crackers,cereal"
"peas,corn","cereal,graham_crackers,cereal,oatmeal,corn"
"peanut_butter,peas","cereal,graham_crackers,cereal,oatmeal,corn,peas"
"noodles,peanut_butter","cereal,graham_crackers,cereal,oatmeal,corn,peas,peanut_butter"
"sprite,fanta","cereal,graham_crackers,cereal,oatmeal,corn,peas,peanut_butter,noodles,orange,fanta"
"crackers,graham_crackers",graham_crackers
"cookies,graham_crackers","graham_crackers,crackers,graham_crackers"
"corn,oatmeal","graham_crackers,crackers,graham_crackers,cookies,oatmeal"
"peanut_butter,corn","graham_crackers,crackers,graham_crackers,cookies,oatmeal,corn"
"jam,peanut_butter","graham_crackers,crackers,graham_crackers,cookies,oatmeal,corn,peanut_butter"
"sprite,fanta","graham_crackers,crackers,graham_crackers,cookies,oatmeal,corn,peanut_butter,jam,fanta"
"noodles,cookies","graham_crackers,crackers,graham_crackers,cookies,oatmeal,corn,peanut_butter,jam,fanta,sprite"
"orange,banana","graham_crackers,crackers,graham_crackers,cookies,oatmeal,corn,peanut_butter,jam,fanta,sprite,noodles,nutella,ginger,banana"
"fanta,dr_pepper","crackers,breakfast_cereal,tea,dr_pepper"
"orange,banana","crackers,breakfast_cereal,tea,dr_pepper,fanta,soup,nutella,jam,banana"
"sprite,fanta","crackers,breakfast_cereal,tea,dr_pepper,fanta,soup,nutella,jam,banana,orange"
"breakfast_cereal,cereal",cereal
"apple,banana","cereal,breakfast_cereal,cereal,coffee_sugar,banana"
"soup,crackers","cereal,breakfast_cereal,cereal,coffee_sugar,banana,apple,crackers"
"dr_pepper,coke","cereal,breakfast_cereal,cereal,coffee_sugar,banana,apple,crackers,soup,coke"
"fanta,coke","cereal,breakfast_cereal,cereal,coffee_sugar,banana,apple,crackers,soup,coke,dr_pepper"
"sprite,dr_pepper","cereal,breakfast_cereal,cereal,coffee_sugar,banana,apple,crackers,soup,coke,dr_pepper,fanta"
"breakfast_cereal,cereal",cereal
"dr_pepper,sprite","cereal,breakfast_cereal,cereal,coffee_sugar,sprite"
"fanta,dr_pepper","cereal,breakfast_cereal,cereal,coffee_sugar,sprite,dr_pepper"
"noodles,soup","cereal,breakfast_cereal,cereal,coffee_sugar,sprite,dr_pepper,fanta,soup,crackers"
"orange,banana","cereal,breakfast_cereal,cereal,coffee_sugar,sprite,dr_pepper,fanta,soup,crackers,noodles,banana"
"coffee_sugar,tea","cereal,crackers,noodles,tea"
"banana,orange","cereal,crackers,noodles,tea,coffee_sugar,orange"
"coke,fanta","cereal,crackers,noodles,tea,coffee_sugar,orange,banana,fanta"
"dr_pepper,coke","cereal,crackers,noodles,tea,coffee_sugar,orange,banana,fanta,coke"
"sprite,dr_pepper","cereal,crackers,noodles,tea,coffee_sugar,orange,banana,fanta,coke,dr_pepper"
"dr_pepper,sprite",sprite
"banana,orange","sprite,dr_pepper,sprite,orange"
"chili,soup","sprite,dr_pepper,sprite,orange,banana,soup"
"nutella,peanut_butter","sprite,dr_pepper,sprite,orange,banana,soup,chili,peas,peanut_butter"
"graham_crackers,breakfast_cereal","sprite,dr_pepper,sprite,orange,banana,soup,chili,peas,peanut_butter,nutella,cereal,breakfast_cereal"
"graham_crackers,cereal",cereal
"oatmeal,graham_crackers","cereal,graham_crackers,cereal"
"coffee_sugar,tea","cereal,graham_crackers,cereal,oatmeal,tea"
"jam,nutella","cereal,graham_crackers,cereal,oatmeal,tea,coffee_sugar,chili,nutella"
"tea,coffee_sugar","oatmeal,corn,cookies,coffee_sugar"
"peanut_butter,oatmeal","oatmeal,corn,cookies,coffee_sugar,tea"
"jam,peanut_butter","oatmeal,corn,cookies,coffee_sugar,tea,peanut_butter,oatmeal"
"noodles,corn","oatmeal,corn,cookies,coffee_sugar,tea,peanut_butter,oatmeal,jam"
"nutella,jam","oatmeal,corn,cookies,coffee_sugar,tea,peanut_butter,oatmeal,jam,noodles"
"orange,apple","oatmeal,corn,cookies,coffee_sugar,tea,peanut_butter,oatmeal,jam,noodles,nutella,apple"
"graham_crackers,cookies",cookies
"crackers,graham_crackers","cookies,graham_crackers,cookies"
"tea,crackers","cookies,graham_crackers,cookies,crackers"
"jam,sprite","cookies,graham_crackers,cookies,crackers,tea,sprite"
"oatmeal,tea","cookies,graham_crackers,cookies,crackers,tea,sprite,jam"
"chili,jam","cookies,graham_crackers,cookies,crackers,tea,sprite,jam,oatmeal"
"fanta,chili","cookies,graham_crackers,cookies,crackers,tea,sprite,jam,oatmeal,chili"
"dr_pepper,fanta","cookies,graham_crackers,cookies,crackers,tea,sprite,jam,oatmeal,chili,fanta"
"ginger,orange","cookies,graham_crackers,cookies,crackers,tea,sprite,jam,oatmeal,chili,fanta,dr_pepper,orange"
"banana,ginger","cookies,graham_crackers,cookies,crackers,tea,sprite,jam,oatmeal,chili,fanta,dr_pepper,orange,ginger"
"breakfast_cereal,cereal",cereal
"tea,coffee_sugar","cereal,breakfast_cereal,cereal,coffee_sugar"
"dr_pepper,coke","cereal,breakfast_cereal,cereal,coffee_sugar,tea,crackers,coke"
"orange,banana","cereal,breakfast_cereal,cereal,coffee_sugar,tea,crackers,coke,dr_pepper,banana"
"soup,noodles","cereal,breakfast_cereal,cereal,coffee_sugar,tea,crackers,coke,dr_pepper,banana,orange,noodles"
"fanta,sprite",sprite
"soup,chili","sprite,fanta,sprite,chili"
"cookies,graham_crackers","sprite,fanta,sprite,chili,soup,oatmeal,graham_crackers"
"noodles,carrots","sprite,fanta,sprite,chili,soup,oatmeal,graham_crackers,cookies,carrots"
"tea,cookies","cereal,cookies"
"peanut_butter,tea","cereal,cookies,tea"
"jam,peanut_butter","cereal,cookies,tea,peanut_butter"
"chili,jam","cereal,cookies,tea,peanut_butter,jam"
"fanta,chili","cereal,cookies,tea,peanut_butter,jam,chili"
"sprite,fanta","cereal,cookies,tea,peanut_butter,jam,chili,fanta"
"orange,apple","cereal,cookies,tea,peanut_butter,jam,chili,fanta,sprite,noodles,apple"
"banana,orange","cereal,cookies,tea,peanut_butter,jam,chili,fanta,sprite,noodles,apple,orange"
"cookies,oatmeal",oatmeal
"crackers,cookies","oatmeal,cookies,oatmeal"
"coffee_sugar,crackers","oatmeal,cookies,oatmeal,crackers"
"corn,peas","oatmeal,cookies,oatmeal,crackers,coffee_sugar,peanut_butter,peas"
"tea,coffee_sugar","oatmeal,cookies,oatmeal,crackers,coffee_sugar,peanut_butter,peas,corn"
"coke,sprite","oatmeal,cookies,oatmeal,crackers,coffee_sugar,peanut_butter,peas,corn,tea,sprite"
"orange,oatmeal","oatmeal,cookies,oatmeal,crackers,coffee_sugar,peanut_butter,peas,corn,tea,sprite,coke"
"noodles,peas","oatmeal,cookies,oatmeal,crackers,coffee_sugar,peanut_butter,peas,corn,tea,sprite,coke,orange,banana"
"carrots,corn","oatmeal,cookies,oatmeal,crackers,coffee_sugar,peanut_butter,peas,corn,tea,sprite,coke,orange,banana,noodles"
"fanta,sprite",sprite
"jam,peanut_butter","sprite,fanta,sprite,peanut_butter"
"soup,corn","sprite,fanta,sprite,peanut_butter,jam,corn"
"butter,tea","sprite,fanta,sprite,peanut_butter,jam,corn,soup,tea"
"orange,peas","sprite,fanta,sprite,peanut_butter,jam,corn,soup,tea,butter,breakfast_cereal,oatmeal,peas,noodles"
"chili,soup",soup
"jam,peanut_butter","soup,chili,soup,peanut_butter"
"cookies,coffee_sugar","soup,chili,soup,peanut_butter,jam,coffee_sugar"
"crackers,cookies","soup,chili,soup,peanut_butter,jam,coffee_sugar,cookies"
"sprite,coke","soup,chili,soup,peanut_butter,jam,coffee_sugar,cookies,crackers,coke"
"corn,chili","soup,chili,soup,peanut_butter,jam,coffee_sugar,cookies,crackers,coke,sprite"
"noodles,crackers","soup,chili,soup,peanut_butter,jam,coffee_sugar,cookies,crackers,coke,sprite,corn"
"crackers,cookies",cookies
"tea,crackers","cookies,crackers,cookies"
"peas,corn","cookies,crackers,cookies,tea,corn"
"peanut_butter,jam","cookies,crackers,cookies,tea,corn,peas,jam"
"noodles,corn","cookies,crackers,cookies,tea,corn,peas,jam,peanut_butter"
"carrots,peas","cookies,crackers,cookies,tea,corn,peas,jam,peanut_butter,noodles"
"ginger,carrots","cookies,crackers,cookies,tea,corn,peas,jam,peanut_butter,noodles,carrots,banana"
"orange,banana","cookies,crackers,cookies,tea,corn,peas,jam,peanut_butter,noodles,carrots,banana,ginger"
"nutella,peanut_butter","cookies,crackers,cookies,tea,corn,peas,jam,peanut_butter,noodles,carrots,banana,ginger,orange"
"fanta,sprite","cookies,crackers,cookies,tea,corn,peas,jam,peanut_butter,noodles,carrots,banana,ginger,orange,nutella,sprite"
"coffee_sugar,graham_crackers","cereal,graham_crackers"
"peas,soup","cereal,graham_crackers,coffee_sugar,oatmeal,soup"
"corn,peas","cereal,graham_crackers,coffee_sugar,oatmeal,soup,peas"
"banana,orange","cereal,graham_crackers,coffee_sugar,oatmeal,soup,peas,corn,orange"
"nutella,peanut_butter","cereal,graham_crackers,coffee_sugar,oatmeal,soup,peas,corn,orange,banana,peanut_butter"
"crackers,breakfast_cereal",breakfast_cereal
"coffee_sugar,crackers","breakfast_cereal,crackers"
"chili,corn","breakfast_cereal,crackers,coffee_sugar,corn"
"peanut_butter,coffee_sugar","breakfast_cereal,crackers,coffee_sugar,corn,chili"
"noodles,corn","breakfast_cereal,crackers,coffee_sugar,corn,chili,peanut_butter"
"orange,banana","breakfast_cereal,crackers,coffee_sugar,corn,chili,peanut_butter,noodles,banana"
"fanta,sprite","breakfast_cereal,crackers,coffee_sugar,corn,chili,peanut_butter,noodles,banana,orange,sprite"
"ginger,chili","breakfast_cereal,crackers,coffee_sugar,corn,chili,peanut_butter,noodles,banana,orange,sprite,fanta"
"peanut_butter,peas","peas,coke"
"soup,peanut_butter","peas,coke,peanut_butter,peas"
"sprite,coke","peas,coke,peanut_butter,peas,soup"
"orange,banana","peas,coke,peanut_butter,peas,soup,sprite,coffee_sugar,crackers,banana"
"cookies,crackers","peas,coke,peanut_butter,peas,soup,sprite,coffee_sugar,crackers,banana,orange"
"graham_crackers,cookies","peas,coke,peanut_butter,peas,soup,sprite,coffee_sugar,crackers,banana,orange,cookies"
"breakfast_cereal,cereal",cereal
"oatmeal,breakfast_cereal","cereal,breakfast_cereal,cereal"
"tea,coffee_sugar","cereal,breakfast_cereal,cereal,oatmeal,coffee_sugar"
"orange,apple","cereal,breakfast_cereal,cereal,oatmeal,coffee_sugar,tea,apple"
"banana,orange","cereal,breakfast_cereal,cereal,oatmeal,coffee_sugar,tea,apple,orange"
"orange,banana","cookies,butter,banana"
"apple,orange","cookies,butter,banana,orange"
"chili,peanut_butter","cookies,butter,banana,orange,apple,peanut_butter"
"jam,chili","cookies,butter,banana,orange,apple,peanut_butter,chili"
"sprite,fanta","cookies,butter,banana,orange,apple,peanut_butter,chili,jam,fanta"
"graham_crackers,crackers",crackers
"coffee_sugar,tea","crackers,graham_crackers,crackers,tea"
"cookies,cereal",cereal
"graham_crackers,cookies","cereal,cookies,cereal"
"corn,oatmeal","cereal,cookies,cereal,graham_crackers,oatmeal"
"chili,corn","cereal,cookies,cereal,graham_crackers,oatmeal,corn"
"jam,chili","cereal,cookies,cereal,graham_crackers,oatmeal,corn,chili"
"soup,jam","cereal,cookies,cereal,graham_crackers,oatmeal,corn,chili,jam"
"banana,orange","cereal,cookies,cereal,graham_crackers,oatmeal,corn,chili,jam,soup,orange"
"noodles,graham_crackers","cereal,cookies,cereal,graham_crackers,oatmeal,corn,chili,jam,soup,orange,banana"
"fanta,coke","cereal,cookies,cereal,graham_crackers,oatmeal,corn,chili,jam,soup,orange,banana,noodles,coke"
"sprite,fanta","cereal,cookies,cereal,graham_crackers,oatmeal,corn,chili,jam,soup,orange,banana,noodles,coke,fanta"
"orange,banana",banana
"soup,corn","banana,orange,banana,crackers,tea,corn"
"peanut_butter,jam","banana,orange,banana,crackers,tea,corn,soup,jam"
"fanta,sprite","banana,orange,banana,crackers,tea,corn,soup,jam,peanut_butter,butter,sprite"
"coffee_sugar,jam","banana,orange,banana,crackers,tea,corn,soup,jam,peanut_butter,butter,sprite,fanta"
"breakfast_cereal,cereal","cereal,coffee_sugar"
"crackers,breakfast_cereal","cereal,coffee_sugar,breakfast_cereal,cereal"
"soup,chili","cereal,coffee_sugar,breakfast_cereal,cereal,crackers,chili"
"orange,banana","cereal,coffee_sugar,breakfast_cereal,cereal,crackers,chili,soup,peanut_butter,sprite,banana"
"breakfast_cereal,cereal",cereal
"crackers,breakfast_cereal","cereal,breakfast_cereal,cereal"
"tea,crackers","cereal,breakfast_cereal,cereal,crackers"
"nutella,jam","cereal,breakfast_cereal,cereal,crackers,tea,fanta,orange,jam"
"apple,orange","cereal,breakfast_cereal,cereal,crackers,tea,fanta,orange,jam,nutella,peas,noodles"
"banana,apple","cereal,breakfast_cereal,cereal,crackers,tea,fanta,orange,jam,nutella,peas,noodles,apple"
"fanta,dr_pepper","crackers,breakfast_cereal,tea,dr_pepper"
"orange,banana","crackers,breakfast_cereal,tea,dr_pepper,fanta,soup,nutella,jam,banana"
"sprite,fanta","crackers,breakfast_cereal,tea,dr_pepper,fanta,soup,nutella,jam,banana,orange"
"graham_crackers,cookies",cookies
"breakfast_cereal,graham_crackers","cookies,graham_crackers,cookies"
"nutella,peanut_butter","cookies,graham_crackers,cookies,breakfast_cereal,oatmeal,peanut_butter"
"tea,crackers",crackers
"sprite,chili","crackers,tea,crackers,chili"
"peanut_butter,sprite","crackers,tea,crackers,chili,sprite"
"nutella,peanut_butter","crackers,tea,crackers,chili,sprite,peanut_butter"
"orange,banana","crackers,tea,crackers,chili,sprite,peanut_butter,nutella,noodles,banana"
"apple,orange","crackers,tea,crackers,chili,sprite,peanut_butter,nutella,noodles,banana,orange"
"oatmeal,cereal",cereal
"dr_pepper,sprite","cereal,oatmeal,cereal,sprite"
"soup,chili","cereal,oatmeal,cereal,sprite,dr_pepper,chili"
"peanut_butter,nutella","cereal,oatmeal,cereal,sprite,dr_pepper,chili,soup,nutella"
"banana,apple","cereal,oatmeal,cereal,sprite,dr_pepper,chili,soup,nutella,peanut_butter,apple"
"butter,ginger","cereal,oatmeal,cereal,sprite,dr_pepper,chili,soup,nutella,peanut_butter,apple,banana,ginger,noodles"
"sprite,fanta",fanta
"dr_pepper,sprite","fanta,sprite,fanta"
"banana,orange","fanta,sprite,fanta,dr_pepper,orange"
"graham_crackers,breakfast_cereal","fanta,sprite,fanta,dr_pepper,orange,banana,breakfast_cereal"
"peanut_butter,nutella","fanta,sprite,fanta,dr_pepper,orange,banana,breakfast_cereal,graham_crackers,nutella"
"crackers,cereal",cereal
"graham_crackers,crackers","cereal,crackers,cereal"
"cookies,graham_crackers","cereal,crackers,cereal,graham_crackers"
"oatmeal,cookies","cereal,crackers,cereal,graham_crackers,cookies"
"orange,apple","cereal,crackers,cereal,graham_crackers,cookies,oatmeal,apple"
"ginger,orange","cereal,crackers,cereal,graham_crackers,cookies,oatmeal,apple,orange"
"peanut_butter,nutella","cereal,crackers,cereal,graham_crackers,cookies,oatmeal,apple,orange,ginger,nutella"
"graham_crackers,crackers",crackers
"soup,peas","crackers,graham_crackers,crackers,tea,oatmeal,peas"
"orange,apple","crackers,graham_crackers,crackers,tea,oatmeal,peas,soup,nutella,apple"
"tea,graham_crackers",graham_crackers
"breakfast_cereal,tea","graham_crackers,tea,graham_crackers"
"sprite,dr_pepper","graham_crackers,tea,graham_crackers,breakfast_cereal,dr_pepper"
"peas,corn","graham_crackers,tea,graham_crackers,breakfast_cereal,dr_pepper,sprite,corn"
"chili,peas","graham_crackers,tea,graham_crackers,breakfast_cereal,dr_pepper,sprite,corn,peas"
"soup,corn","graham_crackers,tea,graham_crackers,breakfast_cereal,dr_pepper,sprite,corn,peas,chili"
"coffee_sugar,tea",tea
"jam,chili","tea,coffee_sugar,tea,chili"
"nutella,jam","tea,coffee_sugar,tea,chili,jam"
"peanut_butter,nutella","tea,coffee_sugar,tea,chili,jam,nutella"
"banana,orange","tea,coffee_sugar,tea,chili,jam,nutella,peanut_butter,fanta,orange"
"apple,banana","tea,coffee_sugar,tea,chili,jam,nutella,peanut_butter,fanta,orange,banana"
"breakfast_cereal,cereal",cereal
"noodles,soup","cereal,breakfast_cereal,cereal,coffee_sugar,soup"
"peanut_butter,oatmeal","cereal,breakfast_cereal,cereal,coffee_sugar,soup,noodles,oatmeal"
"jam,peanut_butter","cereal,breakfast_cereal,cereal,coffee_sugar,soup,noodles,oatmeal,peanut_butter"
"orange,banana","cereal,breakfast_cereal,cereal,coffee_sugar,soup,noodles,oatmeal,peanut_butter,jam,banana"
"sprite,fanta","cereal,breakfast_cereal,cereal,coffee_sugar,soup,noodles,oatmeal,peanut_butter,jam,banana,orange,fanta"
"breakfast_cereal,cereal",cereal
"peas,soup","cereal,breakfast_cereal,cereal,graham_crackers,tea,soup"
"chili,peas","cereal,breakfast_cereal,cereal,graham_crackers,tea,soup,peas"
"apple,orange","cereal,breakfast_cereal,cereal,graham_crackers,tea,soup,peas,chili,peanut_butter,orange"
"noodles,sprite","cereal,breakfast_cereal,cereal,graham_crackers,tea,soup,peas,chili,peanut_butter,orange,apple,sprite"
"tea,breakfast_cereal",breakfast_cereal
"cereal,tea","breakfast_cereal,tea,breakfast_cereal"
"dr_pepper,sprite","breakfast_cereal,tea,breakfast_cereal,cereal,peas,soup,sprite"
"banana,orange","breakfast_cereal,tea,breakfast_cereal,cereal,peas,soup,sprite,dr_pepper,orange"
"crackers,cereal",cereal
"nutella,jam","cereal,crackers,cereal,jam"
"soup,nutella","cereal,crackers,cereal,jam,nutella"
"orange,banana","cereal,crackers,cereal,jam,nutella,soup,carrots,banana"
"butter,crackers","cereal,crackers,cereal,jam,nutella,soup,carrots,banana,orange,ginger"
"noodles,butter","cereal,crackers,cereal,jam,nutella,soup,carrots,banana,orange,ginger,butter"
"tea,coffee_sugar","cereal,coffee_sugar"
"apple,orange","cereal,coffee_sugar,tea,orange"
"coke,fanta","cereal,coffee_sugar,tea,orange,apple,crackers,dr_pepper,fanta"
"soup,noodles","cereal,coffee_sugar,tea,orange,apple,crackers,dr_pepper,fanta,coke,noodles"
"tea,cookies","cereal,cookies"
"peanut_butter,tea","cereal,cookies,tea"
"jam,peanut_butter","cereal,cookies,tea,peanut_butter"
"chili,jam","cereal,cookies,tea,peanut_butter,jam"
"fanta,chili","cereal,cookies,tea,peanut_butter,jam,chili"
"sprite,fanta","cereal,cookies,tea,peanut_butter,jam,chili,fanta"
"orange,apple","cereal,cookies,tea,peanut_butter,jam,chili,fanta,sprite,noodles,apple"
"banana,orange","cereal,cookies,tea,peanut_butter,jam,chili,fanta,sprite,noodles,apple,orange"
"corn,peas",peas
"chili,corn","peas,corn,peas"
"soup,chili","peas,corn,peas,chili"
"apple,orange","peas,corn,peas,chili,soup,orange"
"banana,apple","peas,corn,peas,chili,soup,orange,apple"
"breakfast_cereal,cereal","peas,corn,peas,chili,soup,orange,apple,banana,cereal"
"graham_crackers,cookies","peas,corn,peas,chili,soup,orange,apple,banana,cereal,breakfast_cereal,cookies"
"crackers,graham_crackers","peas,corn,peas,chili,soup,orange,apple,banana,cereal,breakfast_cereal,cookies,graham_crackers"
"peanut_butter,peas","peas,coke"
"soup,peanut_butter","peas,coke,peanut_butter,peas"
"sprite,coke","peas,coke,peanut_butter,peas,soup"
"orange,banana","peas,coke,peanut_butter,peas,soup,sprite,coffee_sugar,crackers,banana"
"cookies,crackers","peas,coke,peanut_butter,peas,soup,sprite,coffee_sugar,crackers,banana,orange"
"graham_crackers,cookies","peas,coke,peanut_butter,peas,soup,sprite,coffee_sugar,crackers,banana,orange,cookies"
"breakfast_cereal,cereal",cereal
"coffee_sugar,tea","cereal,breakfast_cereal,cereal,tea"
